"","cell_type","T210","T508","T111","T563","T1","T279","T393","T139","T202","T271","T329","T325","T23","T57","T19","T607","T576","T326","T608","T587","T349","T565","T125","T339","T521","T31","T728","T85","T378","T58","T482","T109","T335","T232","T92","T28","T643","T727","T405","T473","T613","T467","T60","T551","T312","T330","T12","T340","T558","T480","T162","T133","T167","T600","T408","T716","T64","T216","T289","T50","T258","T26","T233","T300","T120","T182","T250"
"1","B cell",0.126073227356917,0.114869416081949,0.0895410361034327,0.117484079923701,0.128792616152618,0.0910093481562482,0.0976068338089127,0.091442513665472,0.098166494192177,0.0984623500907975,0.102657799949823,0.106640161680161,0.111383949769519,0.112038748285671,0.116137499082665,0.101330713416783,0.102763035695577,0.0956227840301938,0.0691731209247237,0.0621627022944565,0.0973886707072952,0.0882979172157709,0.134819910237316,0.104862776901596,0.0960261982542134,0.103680931519941,0.100141650543068,0.0706009007833702,0.0906803015561355,0.107003153574859,0.108909753357511,0.0816751808450508,0.0981375315896858,0.0982971108106509,0.12719582590702,0.104994993514042,0.0899307482368878,0.088970183052687,0.106076465940193,0.0971444605714448,0.0993805554712344,0.0912548148305266,0.111343993845001,0.100925194286002,0.0778374024298085,0.0769448851687151,0.0861773649088905,0.091249539952335,0.0863839157983632,0.104190562825781,0.0907672593381555,0.0937400959669239,0.110378378953882,0.110533608621971,0.082208085930523,0.0297182623768403,0.101284729243947,0.113871606570988,0.111061939969076,0.10093914503189,0.0999499895841283,0.0826081852545438,0.0994962280154724,0.0997479937424319,0.0822374269202928,0.0903781938878537,0.0735666248235748
"2","T cell CD4+",0.112708730534936,0.114677747859069,0.0918887904191012,0.104567577077048,0.163261621706945,0.120735503266506,0.124553472357175,0.111230757291675,0.114450746280542,0.136125459421036,0.0977842872071261,0.105401009100566,0.141058384989958,0.113165956938698,0.109861113325203,0.103381460753034,0.124668878409166,0.0906266743816018,0.0994113024252621,0.126200880348121,0.0846957052421977,0.0981995966210802,0.0911284476244891,0.16331477960352,0.132797084599443,0.11223117523557,0.122167693136445,0.10990235458718,0.0931797116674703,0.111558881196574,0.102826029937709,0.104233871101694,0.116536032747809,0.102937347216418,0.131943128122755,0.123082980850989,0.113068097534793,0.110640648417251,0.108095158624771,0.102919618604403,0.11039265461182,0.1070035666981,0.162084460280921,0.12742779338758,0.127224043473275,0.10608448354315,0.138998330653509,0.102627041240183,0.12018452147305,0.0958756768501459,0.127670807570223,0.136700317559486,0.166614057083428,0.0979478211926724,0.122185756913968,0.134832468152016,0.0902584890716521,0.120599489646206,0.135103946998007,0.131482988599807,0.0994045795595989,0.143177358470134,0.119245077048072,0.078793664580855,0.098555509923005,0.119797645817425,0.134842769885241
"3","T cell CD8+",0.221796955145454,0.199759469218841,0.214423045922108,0.228376606921627,0.206469210120794,0.238273083974473,0.226306075133173,0.207516305270548,0.204848160656633,0.242188947856703,0.188024609074767,0.196709218973963,0.212173846411153,0.204611673362538,0.21050143065265,0.202854262410987,0.228465978577166,0.209686375563594,0.217703883330863,0.22512913554602,0.196572216662209,0.196825970869723,0.222837184565327,0.19358484399628,0.227585720810601,0.210916806770204,0.198413914749489,0.203743430715944,0.180711109562043,0.212306022671341,0.20748515375552,0.188908362551941,0.188711313373635,0.209892419953686,0.225525972762791,0.225229780220799,0.204128463919171,0.184330809809424,0.197407288501005,0.205510175829294,0.198822283828049,0.215419633489331,0.213971634434663,0.184862484444016,0.195212433586586,0.171188857095706,0.201271034320983,0.217137514673775,0.192057182552315,0.199109805899668,0.210729026598606,0.194701548871942,0.218579864388211,0.21726832288582,0.219426076057417,0.246197313656847,0.197364308977173,0.221075543363389,0.220804467647568,0.195925211559111,0.212276820957962,0.202058127543334,0.19941763322927,0.210149235763861,0.185938047343909,0.219170805011511,0.201309518902975
"4","Neutrophil",0.119325850398602,0.122488995705632,0.110027208483195,0.142215917600328,0.132696720867756,0.127788088416929,0.13035127087529,0.126114757801888,0.124804461124994,0.128985329127805,0.124035823485364,0.123139362111633,0.133271547721969,0.129014475083875,0.125015004249627,0.123642470107128,0.123839971407614,0.11993834075101,0.102502124908234,0.109062463013765,0.116346994786289,0.114153171449314,0.130253429579993,0.157131170154337,0.126535753862369,0.122143916143639,0.133059422383952,0.106050930678074,0.112931066158087,0.130019359421819,0.13211518231792,0.12019040975668,0.119772487222224,0.115584446142612,0.127107519627796,0.140869670661467,0.117390801900308,0.11454000261384,0.122040541965901,0.124492626229605,0.123220309995521,0.12948244298914,0.141804368443749,0.120898624001086,0.114639780100261,0.111127923961748,0.127769562442549,0.12326043929668,0.119891574842143,0.128226372429877,0.12210126896577,0.121795359595029,0.128094137142162,0.126366974579074,0.124959227495901,0.084325953943526,0.127314757434187,0.124078139837189,0.117546573731392,0.135302003807694,0.121260037250535,0.121756728895441,0.127795695934047,0.113990418234781,0.116155700567856,0.131862802771814,0.117126428368412
"5","Macrophage",0.0633761565413825,0.0666604971823817,0.0613555782670068,0.0548418520987848,0.110053078679063,0.192279187374555,0.0925312356119753,0.0435740412653875,0.037981972950806,0.0678525693252179,0.0566014334400313,0.0561743082041729,0.114971191669715,0.0467091322797039,0.0585319992980756,0.0345265217473125,0.0648299538936047,0.0610020786187179,0.0154598771214009,0.0371657464983424,0.0550023071787627,0.0149554837063964,0.072031979289257,0.104587601055689,0.0576714679178536,0.067106465979292,0.0723640207974741,0.0334876164818958,0.0503568300549717,0.0665119750238269,0.0444074531910058,0.00131287871402972,0.0756129743678722,0.0501447479653605,0.0782506504904981,0.0633368782970016,0.042460318105775,0.041986635362141,0.0276894118640263,0.0185158815851309,0.0355005573748063,0.0466783118995907,0.142562794314108,0.0763449976011931,0.046588927203324,0.0149406260556052,0.05086712297538,0.0601418977176958,0.0878383844699025,0.0344981085227475,0.0445523254337238,0.0508282732984571,0.311179214800364,0.0452294219417139,0.0822287843184686,0.0142324944477924,0.0377172295435075,0.0540497043995045,0.0700689164318073,0.0718620332281129,0.0595438387278369,0.0832209734339834,0.0694639421560279,0.0385864108834344,0.0146387554389179,0.064747818010443,0.0413296276625195
"6","Myeloid dendritic cell",0.480889774691739,0.468368184715294,0.513666528295484,0.483985423855101,0.488706568982836,0.426303850266315,0.497043066618978,0.476060094419129,0.478459353795681,0.487048247370285,0.45449300982509,0.480173366026124,0.452067308851121,0.459217672973715,0.487074973274453,0.459317007685629,0.514380696413599,0.485965938073557,0.527360243262783,0.495760466635289,0.482594613785404,0.488913279252647,0.467803805503339,0.417256245655906,0.49954614244302,0.478480808350052,0.478497508638552,0.534103137407424,0.488770878154447,0.464805549320988,0.443186795330471,0.467394655043736,0.50480863562344,0.470494206963858,0.491015030362801,0.470512465730966,0.477417485388716,0.485701978416856,0.464918594685276,0.490310812581344,0.447970712722417,0.471950276234279,0.504039390009545,0.499463292432854,0.503891113169491,0.459103844999451,0.453004190825749,0.477475935250081,0.497651194106035,0.432867629001454,0.476244489012289,0.478209299381404,0.566374256902841,0.464392120592976,0.460712104641713,0.588554280644776,0.462612004515364,0.50167219969738,0.495675549239496,0.471300225786312,0.477821045505552,0.497932145914006,0.446938235857233,0.480822819774777,0.462366632014896,0.454186812551307,0.485346495076247
