"","cell_type","T373","T342","T434","T32","T6","T314","T487","T71","T513","T286","T574","T595","T502","T229","T61","T69","T124","T186","T209","T34","T391","T659","T72","T399","T605","T10","T114","T201","T172","T509","T431","T496","T577","T18","T319","T265","T166","T78","T103","T178","T231","T334","T705","T198","T498","T283","T96","T661","T729","T123","T438","T375","T132","T318","T185","T273","T67","T160","T384","T585","T237","T54","T637","T515","T62","T84","T47"
"1","B cell",0.0930471001519292,0.107434727310429,0.0576472840389152,0.0598078741997137,0.112872279405653,0.0948954997169879,0.101971920186683,0.0769196387407173,0.0763856882152519,0.139030028589375,0.110210658263654,0.0829771226824313,0.150438467441661,0.086197801587238,0.103757185114157,0.108080477305346,0.0891161663960654,0.0876528202776432,0.109133909024363,0.105360411538751,0.0911504764881337,0.114944530459559,0.110149898295827,0.0833835784841942,0.110548146494183,0.0883687130545718,0.099419832054816,0.102802554885625,0.0882202145500866,0.0861734922535209,0.0995985534228589,0.113040506629794,0.0939413323624654,0.0983099239762882,0.0973525653768146,0.103502929782206,0.0974378647497028,0.0987273745886974,0.0911009070360364,0.0941054598308827,0.0809480990116324,0.0890822494219541,0.10731301413537,0.0951471579154925,0.0569258343199145,0.104740296645397,0.0997314420428772,0.0955807182954225,0.0982509371262688,0.0991082786660425,0.0669855876807788,0.0951363299294036,0.0904089045154578,0.078241037905314,0.0879775756611416,0.093060041444951,0.121596258053499,0.0960977021168413,0.109804325174045,0.107817302531749,0.0902420555969424,0.102516822348446,0.111861245616167,0.0999421382124841,0.0991125240153443,0.105954979333802,0.1162983180951
"2","T cell CD4+",0.107668553894561,0.12754429323788,0.116656706379277,0.13255665081511,0.108217616172721,0.133674638714453,0.148354639871709,0.109726643318346,0.126655558382562,0.142688222693806,0.0865251917990789,0.113028239127466,0.155121881295786,0.105012167759519,0.128470923925062,0.102442925776407,0.0915334232212547,0.0978423878218275,0.103448558497546,0.111229815661222,0.118304850908253,0.121329924748153,0.0939203556683298,0.0915784949922895,0.123516340050244,0.147430006889485,0.117980799661378,0.0865684342332011,0.105758253332207,0.12498232989124,0.123400499844927,0.170323968896679,0.129571307861271,0.154998334056758,0.111342058492488,0.099460714128361,0.0910569029041212,0.0870616553539487,0.0965431281889313,0.128572300467265,0.118065922180992,0.104708213793159,0.113829643548764,0.118801617087917,0.160355631633674,0.108529553352257,0.0790249692439676,0.0956398161621005,0.110856051210116,0.115181904431707,0.129970683913694,0.106880262063167,0.118220798661296,0.137762590619465,0.13928264101352,0.0951667736487512,0.12688782097824,0.118113032947154,0.121149505935638,0.118485601115571,0.0953893957369178,0.13818185480454,0.0991941053323159,0.0994089815309975,0.105549289727471,0.0985729553857296,0.145855563162684
"3","T cell CD8+",0.188312430846433,0.190653494069138,0.23894668202714,0.208344158899886,0.191638022051395,0.194366501729166,0.20972187664796,0.210987647978315,0.189590469529002,0.230657004344032,0.192958578808368,0.236626775067059,0.20743082070298,0.202181931854341,0.231110666437024,0.20729705481793,0.202144805369546,0.208080766666514,0.215761203423788,0.185927579525175,0.212673260210687,0.190749259727155,0.214307454882921,0.203379411430996,0.226250024281421,0.218883225347514,0.212836752090027,0.188751995431476,0.185664244891403,0.185104926848242,0.211839018195588,0.220858807804298,0.212821348564334,0.229589156586381,0.214896173411205,0.189993992482233,0.202148906388782,0.193071396805968,0.201072097553876,0.204177026462519,0.206428814742303,0.196706961963827,0.227712709795799,0.199988902485366,0.187757254346134,0.195283449473823,0.235252668439936,0.198667191589205,0.205492981493953,0.208718426695413,0.253762800782142,0.194342565826617,0.210415669413386,0.198896583237738,0.200609507311468,0.201248291877197,0.21324311115447,0.201970464869784,0.22706029056658,0.194320172256562,0.208870926776777,0.231940685080636,0.208705707493557,0.189876280748704,0.215963661052263,0.226647365606765,0.234774102700489
"4","Neutrophil",0.118835616109403,0.120795265896133,0.108245144986242,0.101378078811657,0.121423222101381,0.129555690505816,0.120864238972928,0.105521999828701,0.117529419062547,0.137194655264703,0.121345497712823,0.121680073825801,0.121288829914548,0.119424872624781,0.139970131750119,0.134475169714999,0.121401936432657,0.120966905760717,0.130215369645514,0.122763692813552,0.125316152694534,0.124886930918661,0.125174692277177,0.129766783622857,0.131523124642381,0.131383653030188,0.124066390105777,0.121112903472408,0.124675550633676,0.127323876698418,0.123945012048083,0.144089853000357,0.124661197704776,0.135662676099649,0.121575265893448,0.116344487215096,0.127905574762701,0.11868072497386,0.134594471570163,0.116893242772743,0.111750123632161,0.114761750513686,0.137283308968341,0.127357253416336,0.109301612101791,0.123839908933729,0.129035314603545,0.121057318333418,0.118540316645433,0.121363500028285,0.133401229189349,0.116359572073062,0.121906499888016,0.112089147012222,0.12121463088713,0.111372164849019,0.137524192944431,0.126050192464104,0.131002671184661,0.127832532405988,0.114950698467401,0.122329699845893,0.1278341234178,0.124632551041849,0.117890488727165,0.117637396759373,0.129107085574331
"5","Macrophage",0.0529380714075874,0.0758163974944056,0.0470288133002848,0.0464689339279486,0.0704983435230434,0.0718151516975807,0.202668952905044,0.0454303327586435,0.04334389808492,0.088430125692713,0.0221277060696598,0.0533303367645271,0.0779679893676719,0.0226319015427695,0.0914608717884112,0.0427027116859396,0.0415416022259091,0.00394830240618459,0.0587198663400051,0.0400710220471044,0.0608242325494119,0.0328711133425956,0.0594445342287883,0.0411901638381149,0.0535903711941996,0.0748893315734695,0.0706634033582738,0.0148884593600762,0.0252132464556633,0.055047994765308,0.0372223539353273,0.278242500949004,0.070891610465332,0.171014728872011,0.0573518047238686,0.02336807459521,0.038220683898598,0.0270572312535964,0.0375450293214748,0.031734521833392,0.0611901323922459,0.0347981552300622,0.0544525369114741,0.0463197001804125,0.086482600464418,0.0574614056531317,0.0339347165109803,0.0278684520871899,0.0623532727734809,0.0568132940651565,0.0866045342772732,0.0653598671183387,0.0481278730217743,0.0469162556882962,0.0910574780279112,0.0366949189264476,0.0665278812149987,0,0.147351089288408,0.0504280384274929,0.0920041019068555,0.125363582582698,0.0512670193155902,0.0373860204082102,0.0701713530189104,0.0664081524293523,0.0618451056656452
"6","Myeloid dendritic cell",0.462155299369219,0.472458829396644,0.496998398446135,0.529286710689816,0.469602672337611,0.452320866014245,0.515737591567722,0.532150684872175,0.527028470330975,0.467739340443148,0.464751612439408,0.512705278256493,0.518950431160357,0.4626961374103,0.479401664875369,0.436481445778575,0.45460411240702,0.45037224248636,0.478320177686405,0.459305302487907,0.481840705073413,0.447686220301159,0.472044233784964,0.48604519263863,0.494948319093993,0.461086547918435,0.456876238717964,0.439709409666981,0.444429074906273,0.532656429265617,0.510718746316421,0.486539394676443,0.460441866985961,0.48786720710584,0.461085386136043,0.462461370362239,0.441258672936564,0.442868332313661,0.466394381564355,0.494185823983849,0.479686373326588,0.47128178845608,0.498485533629401,0.464790489266803,0.583289308456133,0.443129297864607,0.507156101240822,0.472417109174149,0.466195750433373,0.477739308494287,0.557717673977175,0.489020890916794,0.47472851289295,0.51001820572005,0.480852611095171,0.487217670280254,0.449109412093967,0.478907989782849,0.45773805895329,0.461255009152592,0.47421217395927,0.496727263200855,0.473654555468039,0.456844693091226,0.483133947548881,0.508870960679038,0.524376094169356
