Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
T643	0.116003210262859	0	0.0292551607165898	0.0548096449675174	0	0.161564014629973	0	0	0	0	0	0.0485844225855717	0.012467543669732	0	0.0299889484937188	0.0497477300525109	0.0247931668549521	0	0.078352163188895	0	0	0	9999	0.0141701880706781	1.08039951895494	0.60556600542232
T727	0.0914633688733741	0	0.0586270298127437	0.0248223363360886	0	0.0939096241453759	0	0.0034829076691279	0	0	0	0.0466960808148227	0.00419854650550181	0	0.0073996491419359	0.0762457694235337	0.0486963221534711	0	0.109707513111002	0	0.0083841348240564	0	9999	0.094829583775547	1.03527393918987	0.573633282811034
T405	0.0781371669032777	0	0.0356808538279108	0.044865652230649	0	0.135605067659266	0.0105894327129259	0	0	0	0	0.0160396347953338	0.017111360661531	0.00407390512477044	0.0386733391955417	0.0518557678419077	0.0518697756162817	0	0.0748532037967784	0	0.0281218021979402	0	9999	0.0851223865917947	1.03530351317893	0.587476962564114
T473	0.0383391450997916	0	0.0471658136814027	0.0349108686912126	0	0.127867296522745	0	0.0125283288767443	0	0	0.0370017618368187	0.00923017109121647	0.0371949521637042	0.0429076357822495	0	0.0256662420987974	0.00237988003232359	0.00216980823388132	0.0350160566070246	0	0.0702214740003589	0	9999	-0.0414390460094678	1.08795218729914	0.522599434718271
T613	0.0820383675988663	0	0.0505601513437172	0	0	0.107267357925851	0	0.0123952317831877	0	0	0	0.044915876075366	0	0	0.000718339114534877	0.0442977378006535	0	0	0.0523595282554413	0	0.0323718929596793	0	9999	-0.0530850391932207	1.10143919360971	0.426924482857297
T467	0.104092512920202	0	0.040733922209101	0	0	0.153282560526446	0	0.0229043704211178	0	0	0	0.0512599174734515	0.0120360524456031	0	0	0.06254495796775	0	0	0.080788588672534	0	0.0265175561530449	0.00110031938955775	9999	-0.0478489490410702	1.09962670020725	0.555260758178808
T60	0.157108821177003	0	0.0334672804261879	0.0938802109418432	0	0.173575636397411	0	0.062956940936291	0	0	0	0.0532187818551141	0.021865490880277	0.0564637664867189	0.0351569063672334	0.138605102147791	0.0309170934152826	0	0.0519824284014188	0	0.00827725084546274	0	9999	0.227102713199005	0.988869465228745	0.917475710278035
T551	0.0217212594465796	0	0.0647549244035397	0.0491734269993294	0	0.119951938053492	0	0.0192195874609049	0	0	0	0.0341998090384787	0.0798873231970964	0.0687605538621987	0.0139143316047323	0.0228134609020182	0	0	0.0419216292866441	0	0.0334970075124413	0	9999	0.0175490274513267	1.06543200529042	0.569815251767455
T312	0.109560340350535	0	0.0464581882912651	0.0485728777758653	0	0.103944558434963	0	0	0	0	0	0.0387211032879948	0.0176563641248283	0.0524084494603993	0.00575440280498661	0.0722950770563705	0	0	0.0710784498517059	0	0	0	9999	0.0288751628760605	1.06478352089709	0.566449811438915
T330	0.0517341783581706	0	0.0313934232361285	0.0124374602222831	0	0.0429939642433625	0.00681853780385023	0	0	0	0	0.0233377155449013	0	0.0361975222960433	0.0105633892506964	0.111721485835071	0.00960624832766979	0	0.0524925169274589	0	0.0120261683899327	0	9999	0.0223948693894515	1.06590838517685	0.401322610435568
T12	0.143875980170804	0	0.0427643599602039	0.030115756015021	0	0.139894373764216	0	0.0391322207417256	0	0	0	0.0509807086349334	0.0370024501829008	0	0.0032338233727317	0.0708411658922541	0	0	0.0627568237523919	0	0.014426484431977	0	9999	0.00706620775622561	1.07974339106262	0.635024146919159
T340	0.095926025681001	0	0.0578796591270715	0.0371089423478644	0	0.108198435776728	0	0	0	0	0	0.0540495701548542	0.0195908715250153	0	0.0216896083118604	0.068600334549639	0	0	0.0613877678174461	0	0.037421951689417	0	9999	-0.00312802195920876	1.07654672775204	0.561853166980897
T558	0.0574384239924948	0	0.0426548606596579	0.0133749060090271	0	0.208000481799036	0	0	0	0	0	0.0192445346346589	0.0321171137806387	0	0.0616701864966596	0.152170752230635	0.0220383240177871	0	0.0330072442453217	0	0.0143547760931859	0	9999	0.0952812455409935	1.0396625421288	0.656071603959103
T480	0.0883463587237017	0	0.0332348512505621	0	0	0.072463893932718	0	0.0281472567052975	0	0	0	0.0376325166526584	0.00127150258297924	0	0.00866246351968715	0.0605635145079758	0	0	0.0413902611110432	0	0.0106618066340088	0	9999	-0.0665994554830115	1.10409190330375	0.382374425620632
T162	0.166282380441109	0	0.027107787487804	0.026469879163057	0	0.209433868449405	0.00887096334000383	0.0214064377548516	0	0	0	0.0159737835342215	0.0316455152235636	0.0239881727947651	0.0266571931525393	0.0171777351008548	0.00111213794364709	0	0.0996271464514475	0	0.0299283416160124	0	9999	0.144626983081639	1.02567521568049	0.705681342453282
T133	0.128206329923542	0	0.064538444582922	0	0	0.1225766085434	0	0	0	0	0	0.0392375564609409	0.0170289051911428	0.00373633709116104	0	0.0336430176370429	0.00632813685560864	0	0.066554696717994	0	0.0300058227379321	0	9999	-0.00856252837225769	1.08286014312332	0.511855855741686
T167	0.150287009523346	0	0	0.0643546813313208	0	0.115616161863529	0	0.0204317255442585	0	0	0	0.0392764292436216	0.042876225147218	0.157292791455871	0.0535432821480757	0.227200939159943	0.00251248478694101	0	0.0548030569935035	0	0.0395956860596464	0	9999	0.347223307228212	0.940084144008948	0.967790473257274
T600	0.110585657644461	0	0.044010495457698	0.0127263925322096	0	0.128522974366029	0	0	0	0.00124468162911214	0	0.0377261839714539	0	0	0.027703008586005	0.0632307030910832	0.0187821741882978	0	0.0528660127514299	0	0.0312152788706995	0	9999	-0.0263489185087584	1.08357384192707	0.528613563088479
T408	0.109962799191937	0	0.0425126335115818	0.0155417643823672	0	0.0748363117181594	0	0.0339601601031507	0	0	0	0.066483576011588	0.0577027658441979	0	0	0.0718229286539495	0.0197812250405546	0	0.0979142828833377	0	0	0	9999	0.0207321310842557	1.06833242976388	0.590518447340824
T716	0.067021414395259	0	0.031246225787138	0	0	0.10291081158978	0	0	0	0	0	0.0387408419567715	0.0319602101537	0	0	0.0518381030716872	0.0288446880632714	0	0.0743880602148236	0	0.0248597711862971	0	9999	-0.0314387123938493	1.08028752909443	0.451810126418728
T64	0.144110577085832	0	0.0556602814353579	0	0	0.0680021242224633	0	0.0182329297306529	0	0	0	0.0514091741037737	0.0167712404604143	0	0	0.0652712915541159	0.0187825889105229	0	0.0285807178504078	0	0.0136987079033557	0	9999	-0.027808980506764	1.09497457761916	0.480519633256897
T216	0.117195632764203	0	0.0457835435200479	0.0687413660209036	0	0.192378887679019	0.00174892356245856	0	0	0.012444814431132	0	0.0234961078380747	0.0210094881040968	0	0.0522951664222656	0.136983527575467	0.0215839926611564	0	0.116719683950664	0	0.0150004028606031	0	9999	0.263321538730002	0.971556699818997	0.825381537390092
T289	0.0627820546881828	0	0.0510400878036584	0.0661241318581161	0	0.133966793179194	0	0.0164238362481472	0.0107842406191382	0	0	0.0356948168421403	0.0594519252331414	0.0651543359400283	0.00514898019690609	0	0	0	0.0994435253409323	0	0.039807523974747	0	9999	0.0564202917371257	1.05409224278533	0.645822251924332
T50	0.150614931426105	0	0.0521690499988496	0.0302810611621124	0	0.119035604822301	0	0	0	0	0	0.044117649611305	0.0141510495849914	0	0.00997859206819373	0.0943067191151202	0.0307651547247447	0	0.0826115946293222	0	0.00149694267718244	0	9999	0.058028942565312	1.05266211994647	0.629528349820228
T258	0.121006754615238	0	0.0377636512400184	0.0166135866025446	0	0.126660681599603	0	0	0	0	0	0.0250475537221333	0.00902222279444194	0	0	0.0695203993574532	0.0297504103539136	0	0.0652268239225452	0	0.0280128025489916	0	9999	0.0147680010524832	1.06708225374972	0.528624886756883
T26	0.131537099739895	0	0.0482840433683004	0.0438622221400245	0	0.0931496392476676	0	0.0171920246047213	0	0	0	0.0493026145817357	0.0460979620833577	0	0.00812038656536424	0.0941663476262289	0.0389750972654361	0	0.0755561242852259	0	0.0019487135099323	0	9999	0.015186670461352	1.06449882247541	0.64819227501789
T233	0.127488842757308	0	0.0588606902322409	0.00400968152450414	0	0.129067425657515	0	0.0084322916916116	0	0	0	0.0487567552667803	0	0.00893460803495433	0.0128621048805952	0.0850217611212939	0	0	0.0795020631289521	0	0.0228455400436866	0	9999	0.0154846749276824	1.06966037859082	0.585781764339442
T300	0.115685533158785	0	0.0556836007936438	0.0120182564956887	0	0.0763395703370091	0.00655206033915951	0.0221861866198702	0	0	0	0.0330411517869674	0.0112914710955456	0	0.00799493160756496	0.046219261014915	0.00955243685275535	0	0.0703787068123516	0	0.0150738130433745	0	9999	-0.031513715929526	1.08549558005338	0.482016979957631
T120	0.0982798866360708	0	0.0847939716586061	0	0	0.0557572034303478	0	0.0186663183491576	0	0	0	0.0317802584411547	0.00644383389652925	0	0	0.0337237721548047	0.019661897975487	0	0.0414943186074845	0	0.00746876558413237	0	9999	-0.0166102014984996	1.08434777889804	0.398070226733775
T182	0.16562245769337	0	0.0580301800196141	0.0105100733350712	0	0.149683044587142	0	0.00153449376490559	0	0	0	0.0274778079566314	0.00639851904584465	0	0.0138076205072924	0.0357898308687034	0.00246834054710084	0	0.0399067024722019	0.00578783999599867	0.0229075058349472	0	9999	0.0161388836742287	1.08334559174529	0.539924416628824
T250	0.120457270103902	0	0.0505485761948051	0.0218057871579679	0	0.13139453105479	0	0.0275747444261308	0	0	0	0.0455555027568057	0.0132188906323073	0	0.0205341419046758	0.0302382381246427	0	0	0.0357953464998105	0	0	0	9999	-0.0337704801590375	1.10778904032012	0.497123028855838
