"cell_type","T373","T342","T434","T32","T6","T314","T487","T71","T513","T286","T574","T595","T502","T229","T61","T69","T124","T186","T209","T34","T391","T659","T72","T399","T605","T10","T114","T201","T172","T509","T431","T496","T577","T18","T319","T265","T166","T78","T103","T178","T231","T334","T705","T198","T498","T283","T96","T661","T729","T123","T438","T375","T132","T318","T185","T273","T67","T160","T384","T585","T237","T54","T637","T515","T62","T84","T47"
"NK cell resting",0,0,0.0643209464993793,0,0,0,0,0,0,0.0477557486073673,0,0,0.00433964318445393,0,0,0,0,0,0,0,0,0.0214345134429728,0,0,0,0,0,0,0,0.0193997038332573,0,0.00525921025854735,0,0.037349466022381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531776827404597,0,0.00516686127988597,0,0,0,0,0,0,0,0,0,0,0,0
"NK cell activated",0.0413209391310858,0.0262110303085391,0.0174382368810528,0.0234648175453309,0.0562932073777727,0.047271735866626,0,0.0576390780265275,0.0792606247461575,0,0.0555374996893235,0.0400221730710864,0.0257057430419768,0.113089608508226,0.0426936353449043,0.0625083431207773,0.0717228257717618,0.105807714939135,0.0345341981538251,0.0159503517238223,0.0538026683236054,0,0.0031253439850841,0.0593735239393197,0.0593333285509995,0.0342366109519128,0.0157858027843513,0.0400214973109305,0.111264978379086,0,0.0289364448308563,0.000923936768059054,0.00720243632332771,0,0.0485368565142618,0.0995075400073987,0.0723074266331933,0.0297577045755724,0.0597950440733983,0,0.0499781093004235,0.0318051220973863,0.0250871896244585,0.0535101049499487,0.0481188873873654,0.0322090258183845,0.0382172374330329,0.073344609276595,0.0237992219062478,0.0789775757739197,0.0242254068055632,0.0311069127427279,0,0.0774590625008336,0.0426115272686664,0.0711475414292393,0,0.023145767767621,0.0354169332986485,0.0873427213378308,0.0601705234439815,0.047907492995798,0.0394030570232377,0.0379711852744972,0.0586198271064131,0.0768385351042067,0.0234695168457577
"Monocyte",0,0.0338867592551925,0.0685434735859345,0.0357065689216811,0.0704453855989616,0.0464441021132131,0,0.0168673092103489,0.0162064254485869,0.030320854035011,0,0.0435849777852089,0.0305570509206067,0.00724384974760168,0.0365502198981668,0.0433011965364479,0.00550575645033817,0,0.054421490356556,0.0268881353272112,0.0219829348296306,0.0309465507319039,0.0389139224048824,0.00661958014364136,0.0603351928141183,0.0524015794047338,0.0305942923275571,0,0.0346409735998761,0.0061809887425926,0.0128906487626411,0.00245897833562698,0.0188952592003942,0.0217594179784791,0.0484200871884831,0,0.0163057686521605,0.0229254082185356,0.0436548878296404,0.0378343868087123,0.0128674357735416,0,0.0245039406035976,0.151789506546164,0.0287938446594861,0.0740461442406746,0.0452315898471912,0.0137559815376477,0.0285429943387709,0.00658266579490131,0.0177969323219291,0.0221391861324649,0.086062375333014,0.045289092284492,0.016921970448379,0.0547800235900187,0.0160881195632504,0.0415260417888584,0.0345281432844169,0.063186622624693,0.0182152658104863,0.0257560290586849,0.0205484061899916,0.0240717816701612,0.0131899090728281,0.067535359896199,0.0348062208135276
"Macrophage M0",0.0471876957407814,0,0,0,0,0,0.103278952301283,0.0693039550263822,0.0288908242786427,0,0,0.0243430980302314,0.0556189553524903,0.026567898445559,0,0,0.000581442255751293,0,0,0,0,0.0162520232508156,0,0.102498511154126,0,0,0,0,0,0.21512847355627,0.0801554280896761,0.122376889171948,0.0430303040309233,0.21423244884393,0,0,0,0,0,0.00108106732067615,0,0.0107515124879339,0.0475269315508791,0,0.104045429118766,0,0,0.00844145486813137,0.0234789189514361,0.058834178189212,0,0.0697151320658918,0,0.0102390997213163,0.0835173003722732,0.0636503299389276,0,0.0566530853496176,0.0189067519389822,0.0368388204895026,0,0.103220274073466,0,0.0216603557476936,0,0,0
"Macrophage M1",0,0.0325384961023141,0,0.0524769475921717,0,0.0382713193225721,0.0566061388861433,0.0624185217596387,0.106297086587281,0.110969359846964,0.000143654363009811,0.0182489266302878,0.0911767916377754,0,0.0188496463263339,0.0854627835499788,0.0182388356337362,0,0.0657541545606688,0.096095796027873,0.0449591808601692,0.0647850210625923,0.0269304600850086,0.00765631905863333,0.139822433706415,0.0923879073160366,0.0243733035685084,0,0,0.00825401981435079,0.00240034758608593,0.0518586006012109,0.0659331696197535,0,0.0198564004455475,0,0,0.0330631710974244,0.00585872554008737,0.0171773332068738,0.0189226599092349,0.0115548164837391,0.0990583527654055,0,0.0815762244347279,0.00697578123583832,0.0157868030472628,0.0160204043853953,0.0420204121648376,0.0106321823220943,0.0159419439061297,0.0444578337899869,0.046947029704026,0.00964680132288579,0,0,0.0719542355704209,0.0550055949535115,0.0149276458743635,0.0172455058212356,0,0.0309443472499995,0.0898238721164537,0.0245841178360362,0.0280669177667327,0,0.0849935828357438
"Macrophage M2",0.0569840341949996,0.14635690964494,0.0233346098885939,0.0861560705717698,0.146353996832954,0.188458578457754,0.414556320480807,0.230166390811385,0.098345130211167,0.0709135602722336,0.174456546780897,0.144673729771862,0.105785865835502,0,0.0894902814800563,0.118517374595644,0.209712098414242,0,0.17057047717959,0.0789580569548357,0.0968196557576738,0.0793700922896835,0.143229015091647,0.192871831741596,0.0503832470128534,0.0793544910531652,0.0884161637554463,0.114110408900589,0.0368290843895023,0.104902946403946,0.0693602893827668,0.29512710925581,0.0860947635975043,0.291692519526888,0.02355752271107,0.194269051619355,0.302365497092283,0.150562498108611,0.311426888101908,0.0362058056627189,0.293476979076804,0.134876157363182,0.0755000798068153,0.0105422176092652,0.158918448121674,0.143758445459863,0.0469334003979508,0.130343723197552,0.130875339822663,0.164663544345229,0.190795820325962,0.134900331204065,0.0744187979946922,0.134333605594109,0.0871291262266421,0.168005266805395,0.0952580789493476,0,0.226234892491154,0.113252065773606,0.159883331522835,0.116120468725215,0.106930153080236,0.0443720217961021,0.105684323305166,0.0611056786935124,0.0696904153997523
"Myeloid dendritic cell resting",0.0136010609298801,0.0175814305022877,0,0.0839350364078181,0.00497826689730874,0.0385178261176168,0.0059993097157355,0.0191515000221521,0.0708607177799853,0.0320469111539653,0.0515080981713341,0.0328863100123262,0.00565265716992194,0,0.0118324000697545,0.0220914354208112,0.0446100733917825,0,0.0371240954441098,0.0327268882466209,0.0338415691550293,0.0119461390028468,0.109376163869585,0.0106031699250075,0.0433592264883437,0.0496818872318325,0.0896993550581885,0,0,0,0.0327636349200973,0,0.0275168319269179,0,0.0407626955797216,0.00965829663029127,0,0.075620470317149,0,0.0228767002648786,0.0118288990433515,0.0161968674788621,0.0275005149812887,0,0.0607833225766028,0.0285077768086576,0,0.0425224241435223,0.0285059257157077,0.0369146112286547,0,0.0275669734248538,0.0412893018679783,0,0,0,0.0853930243637572,0,0.0825594393725352,0,0,0.0402143107024335,0.14946701710753,0.0443790804830874,0.0670193476578548,0.00353464680510693,0.0874360821289832
"Myeloid dendritic cell activated",0,0,0.00433063541273654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678937565348576,0,0,0,0,0,0,0,0,0,0,0
"Mast cell activated",0.0654381440369165,0.12302270153436,0.272999425824075,0.0616840015470851,0.185602441259518,0.0509110302735118,0.0320770748426138,0.106200493301936,0.119138920979173,0,0.423017631443024,0,0.0400547557594884,0.290880606583804,0.272887629718996,0.0686591480287394,0.14512649163589,0.233346676471886,0.0856672460808601,0.0908239945342895,0.0893191950670349,0.0609891377656857,0.0900747919938706,0.163069370972176,0.0544889285367445,0.0323137262735052,0.148379640393086,0.182759621308198,0.120808956946624,0.0797322668228247,0.0400228475670684,0.00989581753089195,0.145451949218609,0.0210043673390603,0.276452004868283,0.282548527206911,0.103460897124334,0.0805380438057085,0.265291779169969,0.135503875369744,0.147734474968458,0.191459311558741,0.115117881304642,0,0.0344573159849898,0.167835700264576,0.0808901866821433,0.219204812084358,0.12532933582632,0.0374831758178481,0,0.0848107360929709,0.0402980633431812,0.161305011056734,0.0474836926098059,0.0631628530984084,0.0470250979363373,0.03127277070912,0.254169917071383,0.0346366964126005,0.278914896326983,0.0518408278141263,0.0808478624076622,0.129940104087869,0.127363076632958,0.0724268665572922,0.0749568784634624
"Mast cell resting",0,0,0,0,0,0,0,0,0,2.96579852889422e-05,0,0.0747379867991609,0,0,0,0,0,0,0,0,0.0377867340308003,0,0,0.0415147804049652,0,0,0,0,0,0.0298981356844356,0.00186227901266653,0,0,0.0195391666393757,0,0,0,0,0,0,0,0,0.00661447564056401,0.0424924047612089,0,0,0.0350234152123496,0,0,0.0215821894012261,0.105737182984631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00301234169664307,0
"Eosinophil",0.025913969394724,0,0.0540945579610085,0,0.00253459947804012,0.000662902390717447,0.00138487597625776,0,0.00779452739265336,0,0,0.121881706213604,0,0,0,0.0253773803720293,0.00945315735827533,0.0604328215862325,0,0,0,0.0142482359146984,0,0.00780106954188127,0.0353992871323019,0,0,0.0306395407296757,0.0150246630862672,0,0,0,0,0,0,0.0510982071352816,0.085251028371212,0.0153747580403024,0.023136091744918,0.00543995321968089,0,0,0,0.108402369228658,0,0,0.0291581541640393,0,0,0,0,0,0,0,0,0.0565471853790116,0,0.0800030732519594,0,0.0245498108656065,0,0,0,0,0,0.0229928062384687,0
"Neutrophil",0,0,0,0,0,0,0,0,0.00298877462587586,0,0,0,0,0,0.000951458890205304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
