"cell_type","T210","T508","T111","T563","T1","T279","T393","T139","T202","T271","T329","T325","T23","T57","T19","T607","T576","T326","T608","T587","T349","T565","T125","T339","T521","T31","T728","T85","T378","T58","T482","T109","T335","T232","T92","T28","T643","T727","T405","T473","T613","T467","T60","T551","T312","T330","T12","T340","T558","T480","T162","T133","T167","T600","T408","T716","T64","T216","T289","T50","T258","T26","T233","T300","T120","T182","T250"
"Monocyte",0.0105993927495098,0.0013247756954155,0.0218468655151061,0.0231542192949857,0.0614137429957771,0.0109906689785297,0.0257275926896453,0.014436738857153,0.0117119394927132,0.0112467298697061,0.00972344427774164,0.0118517277660797,0.018264843587405,0.0141586597690744,0.0295911487218821,0.0154597356892618,0.00586818684322405,0.0114270898486707,0.00260839395935918,0.000867284107344997,0.0113250263540765,0.000607043244742082,0.00506730573826264,0.0142785906294299,0.0152943788828251,0.00461084938381775,0.0143364897437697,0.00774990464370151,0.0225846127389105,0.0119994419018058,0.00141389575050514,0,0.0322736891764969,0.00422343019546289,0.014812226483298,0.0107290017096586,0.0116835885819545,0.0032009551425341,0.00768804343650446,0.0259890887421694,0.00100016690904083,0.00144445394868795,0.0442544652985969,0.0135739192083092,0,0,0.0100587942425989,0.0144065682744844,0.0129430851933239,0.000648985722525821,0.0284904840498882,0.00722669412282421,0.0369120774031174,0,0.0191140010799366,0.0128872429674443,0.0051022113600343,0.0183920512288158,0.0206919428511299,0.0253106807658025,0.00527847812970152,0.0518359856315124,0.0196248449659455,0.0137674186101273,0.00281326399677341,0.00431788602765667,0.00447870200424408
"Macrophage M0",0,0,0,0,0.015956800307402,0,0.0776821627625079,0,0.0097453808995102,0.00504741176179047,0,0,0,0,0,0.00609248787112266,0.00166074216720396,0,0.0039289733010562,0,0,0,0,0,0,0.005370023546181,0,0,0,0,0,0.00391377016248846,0.00477993003737702,0,0.0219660801710961,0.0431869368550208,0,0,0.00644630501784391,0.00848494008224443,0,0,0.0171267302335085,0.00933272712736304,0.0377312727687272,0.0175333872019784,0,0.00344779398855874,0,0,0.0245870129153312,0,0.175124060088673,0,0,0,0,0,0,0,0,0,0.0122730801988717,0,0,0,0.00679653076153752
"Macrophage M1",0.00358169943587522,0,0.00849594686903903,0.00243855795797437,0.0207974647584724,0.0168204201545715,0.00444070434629567,0.00276420504337891,0.02610121750715,0.00304659620011001,0.0246893596814193,0.0063102636897059,0.00120049810684802,0.00201977020982742,0.0295889166869744,0.0172442646133597,0.0812778641855127,0.00361145753182126,0.00282547323850319,0.0160416999262471,0.030717110573009,0.00459548833437286,0.00820952361004051,0.0217407672241429,0.0138573730092652,0.033891771387893,0.00469346215713153,0.0078278176292443,0,0,0,0,0.00403563668505271,0,0.0241502802516671,0,0.0167346599723605,0.00298557841205583,0.0272268279049417,0.00359064976796258,0.000232839505365043,0.002073699881339,0.0446522190910905,0,0.00260192310474931,0.00501179295107825,0.00275877992977213,0.0126492413989615,0.0603493724863529,0.00642871452833987,0.0173975504659178,0,0.0821564854114914,0.0204940421114347,0,0,0,0.0437997617252088,0,0.00211671356204173,0,0.00684586179443742,0.0058003223943291,0,0,0.00760212649356575,0.0187929937821476
"Macrophage M2",0.0544415766067788,0.062694208675798,0.0391236029582534,0.036425681102064,0.112036841105638,0.241535218607285,0.0961430064093814,0.0678481024167978,0.0904096739916497,0.0168539590385567,0.0547834116529013,0.0950057708892088,0.183316514062094,0.0209162915056593,0.0461961547735931,0.0312633963244459,0.0525177452066439,0.0285080314206789,0.0420113370410754,0.0655889994911951,0.0920158440358317,0.0511097543726081,0.107355976371042,0.0527403420253661,0.0524449290651884,0.050976211372633,0.113546177363013,0.104221885736037,0.0403791201717788,0.0370845784220084,0.048177805631621,0.0276396108297895,0.138736092401339,0.0378041084518845,0.0995587236929418,0.023391439762598,0.0314430628543746,0.0491155368872633,0.0258811887687926,0.0026669584755836,0.0235674146251228,0.0383100424020682,0.220402820348208,0.0454727164872943,0.0689316645932793,0.0998814210014612,0.0433393599358981,0.0430671824655173,0.139611253925388,0.0493929644820945,0,0.0522450362935832,0.488853813939981,0.0354803006289907,0.0566026154400643,0.0405391067177433,0.0493739969175782,0.0954767588914188,0.0517680251722276,0.0904774775468665,0.0381370744152577,0.0874428624849669,0.0364960244765677,0.0228035069750386,0.0223907347099261,0.0213714226159952,0.00673024908345418
"Myeloid dendritic cell resting",0.0336260434042676,0.0178428206477741,0.028340574299712,0.0318910289077364,0.0288689208625801,0.0147137976859699,0.021638610713324,0,0,0.00213600454212343,0.0571865605144806,0.0375140843615662,0.029584547636111,0.0349108805782587,0.00823553704977788,0,0.0149222455258263,0.0440454451304577,0.0172470077646959,0.0158136818555968,0.0020144536032397,0.00539201639419725,0.00961296499732094,0,0.0550142056365958,0.0258681015298832,0.0192635921655313,0.0226494218616141,0,0.0172625294012867,0,0,0.00911917680875485,0,0.0246530321008582,0,0.0132368742573655,0.0204595895271484,0.0230373158373272,0,0,6.10417616436203e-05,0.0335272234510582,0,0,0.00205456182511408,0,0.0091194030687936,0.0105785062394775,0,0.0106975177032502,0,0,0.00758245552046605,0.0168038648465466,0.026917842720237,0.0196297207218552,0.0316095874878915,0.000773361177266206,0.0150666868528543,0.0224284591958848,0.00980767250117846,0,0,0.0120375530426845,0,0
"Myeloid dendritic cell activated",0,0,0,0,0,0,0.000958926723445858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397978897186283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019960508537015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030850878263072,0,0,0
"Mast cell activated",0.0976053198859454,0.0603420465636991,0.0909762396382094,0.0594242457029652,0.0775904246791763,0.157236857456946,0.082417004580425,0.130932064060521,0.0935223059362176,0.0984418738056733,0.052408533226574,0.0821096084105259,0.07003445497523,0.129428514190605,0,0.0583893134349507,0.0228585773773413,0.0568427750001037,0.0161188474769524,0.0727896458385411,0.0307622192184883,0.0375298706286792,0.0731001384596564,0.0671620715946693,0.116197463251886,0.151283068450745,0.0451246745380417,0.0253012065738203,0.0653059200447678,0.0518113852893397,0.0543745143055014,0,0.153838086664022,0.0152399292139831,0.0259577418021783,0.0451104533310144,0.0871597335587412,0.147663399842372,0.0788261663740046,0.0417893196936943,0.0535747545928976,0.16500655762815,0.0510549753008181,0.0571813915808587,0.0810257427916493,0.022669037906326,0.0608637948315869,0.0568136653335687,0.024925418820305,0.0316642299025618,0.0830405133967416,0.139146166383512,0.0606553527989058,0.0479265277935113,0.145371262168045,0.0965610191047464,0.0233851709289274,0.128722996243379,0.124121060510995,0.0755129408152822,0.114895300951092,0.0768788213178826,0.0561529016811796,0.0983751471391577,0.0406679554050005,0.087003817760202,0.039261993173441
"Mast cell resting",0,0,0,0.00433440790642173,0.00629961263210174,0,0,0,0,0,0,0,0,0,0.000118601167055083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180517650944635,0,0.016241784566958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eosinophil",0,0.000956521551187651,0,0.00648974542301993,0,0,0,0.00256787565408447,0,0,0.00744431385051514,0.00511383988500987,0,0,0.015986908345263,0.0122429754765634,0,0,0.0237551425099496,0,0.0143692856580819,0.0180779332558478,0.00643279665233873,0,0,0,0,0,0,0.0124120348068578,0.00992197855410236,0.0282862319650285,0,0.0212196338436024,0,0.00699081528295922,0,0,0.00367392766970629,0.0113132022369923,0.011553413026466,0.00148273192822624,0,0.0144078580318489,0,0.00701645398725348,0.00756139181938883,0.0252991343226164,0,0.0088300906235533,0.0144846800188576,0.00557869372339098,0,0.0109656560058072,0,0.0048549557432434,0.0104773091980067,0,0,0,0.00912060868312658,0.0116701287479197,0.00624358836493448,0,0,0.00576879312605228,0.0144612198301576
"Neutrophil",0,0,0,0.0273730343741687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00385674324561899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
