"cell_type","T373","T342","T434","T32","T6","T314","T487","T71","T513","T286","T574","T595","T502","T229","T61","T69","T124","T186","T209","T34","T391","T659","T72","T399","T605","T10","T114","T201","T172","T509","T431","T496","T577","T18","T319","T265","T166","T78","T103","T178","T231","T334","T705","T198","T498","T283","T96","T661","T729","T123","T438","T375","T132","T318","T185","T273","T67","T160","T384","T585","T237","T54","T637","T515","T62","T84","T47"
"NK cell resting",0,0,0.0231216509204061,0,0,0,0,0,0,0.0444656401910653,0,0,0.00413366553342263,0,0,0,0,0,0,0,0,0.0105611292855188,0,0,0,0,0,0,0,0.0130925332748317,0,0.00588700709088995,0,0.0348785959954951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262589138911578,0,0.00290483964986443,0,0,0,0,0,0,0,0,0,0,0,0
"NK cell activated",0.0197723132865326,0.014488887646569,0.00626857731073569,0.0102238495895265,0.0262903819199047,0.0235925290332977,0,0.025014082955097,0.0364629371910335,0,0.0186744786659043,0.0191601451887948,0.0244856407559713,0.0447177428391609,0.0292450550999477,0.0287979251086822,0.0292405117896242,0.0274006008851706,0.0189213766093277,0.00824078471254469,0.0294825734841075,0,0.00158561217113398,0.0248386484432023,0.0426867993722169,0.0222148514868484,0.0101270097251359,0.00985467390822661,0.0347694697390965,0,0.0183727358287856,0.0010342279615571,0.00368461370558865,0,0.0231808122517664,0.0331715624853031,0.0251891072250686,0.0105137458974405,0.0219588623044926,0,0.0209996147753622,0.0134817567528557,0.0187158437814807,0.0227169701345039,0.035828824500729,0.014043984722137,0.0175758057341802,0.034972834141787,0.0113038737954511,0.0310377073663226,0.0203970864580532,0.0167557227842428,0,0.0393590960368001,0.0239564500082792,0.0286725541964631,0,0.0126912846356459,0.0260957243953245,0.0526230175848421,0.0284670133538962,0.0376088328676904,0.0221609187740015,0.0178492932230511,0.028189787500172,0.0418763101369255,0.0178144261277881
"Monocyte",0,0.0187318637144479,0.0246395358802959,0.0155576999185306,0.0328998147052273,0.0231794709342378,0,0.00732003852703467,0.00745557930076294,0.0282319139605869,0,0.020865796090875,0.0291066852330272,0.00286435344901924,0.0250368277660542,0.0199490908367793,0.00224462902380928,0,0.0298176755137207,0.0138918149511637,0.0120461217204459,0.0152478629426344,0.0197425913071404,0.00276927177503478,0.0434075810954466,0.0340014175406406,0.019627047174437,0,0.0108250439703508,0.0041714451663444,0.00818471259209824,0.00275250887234526,0.00966641395980513,0.0203199143011497,0.0231250441610404,0,0.00568029833297767,0.00809981549459417,0.0160316241190901,0.0208833181048062,0.00540659096899447,0,0.0182807214053381,0.0644401219202543,0.0214395981083482,0.0322860717462501,0.0208016510244985,0.00655925044142482,0.0135570148898456,0.0025869476573617,0.014984498306759,0.0119252613903659,0.0424972354317857,0.0230126427443611,0.00951363081947699,0.0220764226523622,0.0103441905071377,0.0227695543057934,0.0254408506641314,0.0380692369389893,0.00861774479250852,0.0202192628257217,0.0115567571379815,0.0113155353546615,0.00634291761445569,0.0368061633708486,0.026419497833938
"Macrophage M0",0.0225795909549985,0,0,0,0,0,0.0869787046414687,0.0300763811549585,0.0132908908356845,0,0,0.0116539722062532,0.052979046657379,0.0105054431272439,0,0,0.000237046839013071,0,0,0,0,0.00800763307083104,0,0.0428797941505197,0,0,0,0,0,0.145186582362702,0.0508934153501971,0.136985132538759,0.02201339114578,0.200059808830345,0,0,0,0,0,0.000596713060648623,0,0.00455741926233722,0.0354566071223922,0,0.0774711474517204,0,0,0.00402513018925777,0.0111517400747872,0.0231214745183133,0,0.0375520205564611,0,0.00520277029246675,0.0469539150422809,0.0256511679551395,0,0.0310640130359106,0.0139307766612666,0.0221949793724172,0,0.0810310411468757,0,0.0101819850568597,0,0,0
"Macrophage M1",0,0.0179865731589027,0,0.022864717275698,0,0.0191005723760157,0.0476721396312097,0.0270882556537692,0.0489007499528921,0.103324181299228,4.83037650650036e-05,0.00873645924110453,0.0868491590256296,0,0.0129119701560846,0.0393731575238912,0.00743574841953948,0,0.0360268715818598,0.0496481068604635,0.0246365541858016,0.0319206211527704,0.0136629009442871,0.00320298686769444,0.100593921175863,0.0599470444983341,0.015636118456811,0,0,0.00557049891067144,0.00152406255689686,0.0580490101088454,0.0337300115583114,0,0.00948325713242017,0,0,0.0116816059719631,0.00215153194396301,0.00948131432300083,0.00795085236679323,0.0048979288518581,0.0739006912835161,0,0.0607408106753395,0.00304162459471731,0.00726022606968,0.00763899284461217,0.0199583598915671,0.0041783830453748,0.0134226521260353,0.0239471896402548,0.0231822438834045,0.00490180706371583,0,0,0.0462644697293335,0.0301606612974246,0.0109989119984948,0.0103902253352084,0,0.0242922497327732,0.05051840350268,0.0115563716200392,0.0134971474104269,0,0.0645139783964952
"Macrophage M2",0.027267196731896,0.0809029174047291,0.00838816487585627,0.0375390392466818,0.068351096899164,0.0940565097161497,0.349127977704187,0.0998871146166061,0.0452425440427486,0.0660280060031582,0.0586609962495932,0.069260848542877,0.100764825341858,0,0.0613006644117141,0.0546015828813182,0.0854970369631304,0,0.0934560062107674,0.0407938558316453,0.053054852194556,0.0391069201689633,0.072665815562295,0.0806870690060786,0.0362477482636071,0.0514901500045236,0.0567213060015058,0.0280979209876433,0.0115088121514445,0.0707972311446853,0.0440392135691391,0.330356707469364,0.0440442555393829,0.272395475142534,0.0112508833554472,0.0647610018725501,0.105332429627946,0.0531954957338086,0.114367005823294,0.0199843956958553,0.123312057865256,0.0571721605017747,0.05632546810967,0.00447555172626042,0.118329028305311,0.0626824736364453,0.0215843002593874,0.0621516626480366,0.0621616257086027,0.0647117723379956,0.160644519791103,0.0726639950371244,0.0367476863924966,0.0682586273683762,0.0489845046752985,0.0677063468533187,0.0612481596821829,0,0.166693241147457,0.0682331092670324,0.0756417041603985,0.091158084627545,0.060139253548403,0.0208581644795318,0.0508227124359117,0.0333020449781682,0.0528981812924777
"Myeloid dendritic cell resting",0.0065081879403001,0.00971863250757527,0,0.0365713130250066,0.00232497923152881,0.0192235997752085,0.00505245431126598,0.00831132673649249,0.0325986567731214,0.0298390552375808,0.017319592812112,0.0157439345794819,0.00538435837288795,0,0.00810517045946278,0.0101776414320018,0.0181869769200029,0,0.0203403880423042,0.0169084196399954,0.0185443692760663,0.00588605469433722,0.0554909083580102,0.0044357887603229,0.0311943834476021,0.0322367113962209,0.0575445071386037,0,0,0,0.0208027493597218,0,0.0140770277584984,0,0.019467935523014,0.00321966345615094,0,0.0267175987160009,0,0.0126271746185603,0.0049702224954902,0.00686563085152256,0.0205162614866303,0,0.0452586315979559,0.0124301425389388,0,0.0202759235006612,0.0135394084723531,0.014507217898614,0,0.0148489362646707,0.0203884819063835,0,0,0,0.0549052180105062,0,0.0608310255981536,0,0,0.0315694517813706,0.084062676242578,0.0208614825896424,0.0322290471011708,0.00192635069935173,0.0663679459712242
"Myeloid dendritic cell activated",0,0,0.00155674699652949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273612745393779,0,0,0,0,0,0,0,0,0,0,0
"Mast cell activated",0.0313125381948007,0.0680042745182755,0.0981359536653657,0.026876320375353,0.0866811342482878,0.0254088397183426,0.0270144337866538,0.0460886613783836,0.0548084879040989,0,0.142239635883405,0,0.0381535891996368,0.115019623232382,0.186927482346118,0.0316316335426965,0.0591662813616693,0.060428855812312,0.0469373059991076,0.046924418887426,0.0489447793976757,0.0300503284419967,0.045698549401115,0.0682193427085711,0.0392015418190438,0.0209671638107184,0.0951894611759966,0.0450017263869682,0.0377518913314866,0.0538099635658366,0.0254118710768982,0.0110770904965882,0.0744101331183802,0.0196148143623006,0.132031253807981,0.0941896073873149,0.0360417698791439,0.0284550350817462,0.0974245564926153,0.0747936142876446,0.0620745183602156,0.0811569865570892,0.0858816118985355,0,0.0256565601206425,0.0731807917332126,0.0372007581505113,0.104523203705364,0.059527450125439,0.014730660327244,0,0.0456832600153678,0.0198990125326373,0.0819635458579266,0.0266956098767148,0.0254547141375018,0.030235763089518,0.0171474819241015,0.187276183670324,0.0208682241231205,0.131956207522987,0.0406966198201021,0.0454701499635227,0.0610815544084662,0.0612478446777681,0.0394719904808914,0.0568956652551758
"Mast cell resting",0,0,0,0,0,0,0,0,0,2.7614713225259e-05,0,0.0357799331797072,0,0,0,0,0,0,0,0,0.0207062251278477,0,0,0.0173675228832558,0,0,0,0,0,0.0201777480557641,0.00118242446641988,0,0,0.0182465446465839,0,0,0,0,0,0,0,0,0.00493460984025538,0.0180395588983901,0,0,0.0161069921131382,0,0,0.00848166928898074,0.0890276262635652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164169911563178,0
"Eosinophil",0.0123999873222784,0,0.0194455391896352,0,0.001183723425892,0.000330843444026886,0.00116630461308904,0,0.00358578252016476,0,0,0.0583494350185039,0,0,0,0.0116914936938286,0.00385393570609499,0.0156500461767049,0,0,0,0.007020334843898,0,0.00326354258557728,0.0254676807224329,0,0,0.00754451239649938,0.00469509432463326,0,0,0,0,0,0,0.0170339591426833,0.0296981568101339,0.00543208226494264,0.00849639398655082,0.00300267251947905,0,0,0,0.046020716770791,0,0,0.0134096048688092,0,0,0,0,0,0,0,0,0.0227885912129472,0,0.0438672756315919,0,0.0147909878361645,0,0,0,0,0,0.0125308724802542,0
"Neutrophil",0,0,0,0,0,0,0,0,0.00137495133063217,0,0,0,0,0,0.0006517474430228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
