"cell_type","T210","T508","T111","T563","T1","T279","T393","T139","T202","T271","T329","T325","T23","T57","T19","T607","T576","T326","T608","T587","T349","T565","T125","T339","T521","T31","T728","T85","T378","T58","T482","T109","T335","T232","T92","T28","T643","T727","T405","T473","T613","T467","T60","T551","T312","T330","T12","T340","T558","T480","T162","T133","T167","T600","T408","T716","T64","T216","T289","T50","T258","T26","T233","T300","T120","T182","T250"
"NK cell activated",0.0325874764568031,0.0658109321669534,0.071901097827915,0.0394361953663822,0,0.0386606378085166,0.0361921266778465,0.0712436389776635,0.0867880176878552,0.0466784876043963,0.0273248276999485,0.0567241308572492,0.0550373032197812,0.0637073942313641,0,0.0513511984177252,0.0133329256603419,0.071059662447684,0.0412854099968142,0.0201578429887461,0.0448067291823305,0.0307781922584554,0.0890327924143864,0.021954124060314,0.0425755064114502,0.00102193635282301,0.0619262112748011,0.04214925403581,0.0389168198567775,0.0128217548572065,0.0986906950769765,0.0246065354576444,0.0643496248546653,0.0452224854029743,0.000607237027657109,0.0751741185142087,0.0650223065367125,0.0545444821313589,0.0220798274796629,0.0956502546183092,0.0934523847182426,0.0756374917103197,0.04840298044463,0.0658898684651775,0.0597695871816963,0.0253578668960855,0.0470129671066335,0.0773452658603278,0.0114240890637757,0.0880285633283777,0.013457041246895,0.0541851718350522,0.0250028695966394,0.0415299639747765,0.0800935941883216,0.0680387710531098,0.0921851232903566,0.0241861836506906,0.0394648612985424,0.0460682847568798,0.0374664197125567,0.0478356406007539,0.0563320865026505,0.083132344864593,0.0745933805733604,0.0576483549367727,0.0777656618719264
"Monocyte",0.0228772072055799,0.0032165917799579,0.0533614253906086,0.0448336419138935,0.0715135532070545,0.0156761492598983,0.0406831192026347,0.0325323555652007,0.0212833967834946,0.018362473513488,0.0237738464676386,0.0237264595534019,0.0250897528700766,0.0359905224072794,0.0647715382986025,0.04402453590252,0.0100865015195537,0.0260109227693038,0.00846977305572855,0.00221941241895405,0.0282176771232694,0.00205448058370288,0.00996021771966652,0.0213797009910053,0.0273067088112114,0.00900916249837104,0.0268356040819511,0.0178268908063615,0.0571047005516764,0.0245393915063228,0.00370893750443309,0,0.0516455983857614,0.0130274939868735,0.022159802356344,0.0185793259676949,0.0268823763313865,0.0072863609236312,0.0200007547637981,0.0694311824321127,0.00314294452072636,0.00310241027537853,0.042432516325272,0.0288753667594283,0,0,0.0190448915715429,0.0333222072105633,0.0247198837364952,0.00227330333917099,0.0540461629014676,0.0154227012683635,0.028675649135097,0,0.0391581343299254,0.039374602596439,0.0123549692717497,0.0266679708804388,0.0350127061066929,0.0456370042381047,0.0131430952942248,0.0875140410131413,0.0410002525405888,0.0400794307970983,0.0104417616524473,0.00972793589474429,0.0108259248234548
"Macrophage M0",0,0,0,0,0.0185809793074524,0,0.122839036116175,0,0.0177096892124154,0.00824088120380604,0,0,0,0,0,0.0173495172497813,0.00285455777748998,0,0.0127578551094859,0,0,0,0,0,0,0.0104925168272501,0,0,0,0,0,0.0146434610823625,0.00764902784036809,0,0.0328623111241218,0.0747864712010772,0,0,0.0167703222359991,0.0226679522556697,0,0,0.0164216255993251,0.0198532136910987,0.0864526168249902,0.070533703445319,0,0.00797470317130058,0,0,0.0466413172537057,0,0.136047506819335,0,0,0,0,0,0,0,0,0,0.0256409356852413,0,0,0,0.0164285837760537
"Macrophage M1",0.00773056363501727,0,0.0207515277036573,0.00472179315921806,0.0242177162639172,0.0239912072206306,0.00702209905308072,0.00622897610160539,0.0474321583613542,0.00497416072751064,0.0603655484295835,0.0126327755041433,0.00164908068758836,0.00513414307427074,0.0647666526371548,0.0491063212103115,0.139704021449126,0.00822058320962188,0.00917465592928905,0.041051309179916,0.0765354076193334,0.0155529966561336,0.0161365125284075,0.0325530099314699,0.0247410668031293,0.0662213076971848,0.00878540664231545,0.0180061118870748,0,0,0,0,0.00645798099892653,0,0.03612997936743,0,0.0385042167480642,0.00679609707333121,0.0708316898077346,0.00959260486439138,0.000731679523668207,0.00445390995383487,0.0428138946603066,0,0.00596171410812889,0.0201615531367953,0.00522335613643927,0.0292575327393656,0.115260731823242,0.0225188593471263,0.0330029789918991,0,0.0638243825754894,0.0508630078085848,0,0,0,0.0635084556761118,0,0.003816589000335,0,0.0115577821575072,0.0121180413601738,0,0,0.0171271308968012,0.0454264511683052
"Macrophage M2",0.117504017264511,0.152223260870051,0.0955602174977956,0.0705312462577082,0.130461883720543,0.344505156674864,0.152031223342041,0.152891772448581,0.164296013126423,0.0275173654945262,0.13394558352033,0.190195946517948,0.25181524346551,0.0531680448848606,0.101117940242492,0.08902846346049,0.0902698450104753,0.0648914302248549,0.136415931047874,0.167844699083853,0.229268638857835,0.172976141165956,0.211017245335894,0.0789694705821748,0.0936356041379304,0.0996026834923637,0.212540190464476,0.239738714483333,0.10209772434915,0.0758396095578114,0.126380230030797,0.103414239649762,0.222010829644706,0.116609668620807,0.148944633163226,0.0405067681005,0.0723462866510263,0.11180210680341,0.0673309553770608,0.00712491624058604,0.0740587155945308,0.0822826295752261,0.211328872904896,0.0967326640130838,0.157941207621567,0.401805221515851,0.0820568937839204,0.0996138393785852,0.266642296932575,0.17301642731321,0,0.111497674291471,0.379772731125477,0.0880565580050405,0.115959647043951,0.123859790698299,0.119558789649208,0.138438687137072,0.0875963491741476,0.1631374937903,0.0949590376177263,0.147628682286765,0.0762475435022983,0.0663851086117847,0.0831058568738573,0.0481485217201802,0.0162683676099809
"Myeloid dendritic cell resting",0.0725767957318904,0.0433228586737415,0.0692224447472979,0.0617507743232231,0.0336165654042342,0.0209865012908492,0.0342171997842565,0,0,0.00348744277526213,0.139821288717186,0.0751009829836836,0.0406392195701519,0.0887415087446383,0.0180266203398447,0,0.0256490217834827,0.100258481100612,0.056003136003754,0.04046780242191,0.00501925554774218,0.0182487707174676,0.0188950951946463,0,0.0982228114857015,0.0505438175935632,0.0360583477399009,0.0520998372131408,0,0.0353026391422281,0,0,0.0145928573736367,0,0.0368821202845923,0,0.0304562791424667,0.0465723345082959,0.0599325053616034,0,0,0.000131106006337129,0.0321469132398076,0,0,0.00826513740974808,0,0.0210930620606706,0.0202037953424393,0,0.0202930839440568,0,0,0.0188184689115344,0.0344254452100911,0.082242521735661,0.0475332320082323,0.0458330366842963,0.00130859957466339,0.0271663357505157,0.0558455238936102,0.0165581698323066,0,0,0.0446788001035676,0,0
"Myeloid dendritic cell activated",0,0,0,0,0,0,0.001516353693373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134692202586011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345654520919972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00089812453255757,0,0,0
"Mast cell activated",0.210666514598296,0.146512146648158,0.222211365763921,0.115063493133061,0.0903505745291208,0.224269191572192,0.13032625563211,0.295047829364319,0.169952410237972,0.160725501662825,0.128138999610958,0.164378590307632,0.0962037894992275,0.329000054813972,0,0.166274668423081,0.0392903432714686,0.129388413856972,0.0523398620671664,0.186271421990974,0.0766478012821652,0.127016305977117,0.143684500601217,0.100563497189348,0.207459898694139,0.295592771194892,0.0844661365419687,0.058199664072933,0.165124593966719,0.105956583523164,0.142635463272986,0,0.246177621555269,0.0470087291625717,0.038834028672319,0.0781174092117911,0.200542901869068,0.336127430267645,0.205069447855987,0.11164230913025,0.168354381528666,0.354402464928289,0.0489530504621646,0.121640156271229,0.185652032929367,0.0911935143310517,0.115236910632016,0.131409277530011,0.0476048365685796,0.110915228288258,0.157527022236725,0.296955941443975,0.0471209354063625,0.118946147575232,0.297816631268391,0.295024448841484,0.056627028528189,0.18664482132819,0.210024464333237,0.136155342161913,0.286082437428651,0.12979354477182,0.117314717839061,0.286387740038491,0.150943920555769,0.196014335799545,0.0949041454671216
"Mast cell resting",0,0,0,0.00839273782067637,0.00733561677197591,0,0,0,0,0,0,0,0,0,0.000259603981797657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036916661179596,0,0.0607690105295156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eosinophil",0,0.00232246060185894,0,0.0125661296846668,0,0,0,0.00578655918434844,0,0,0.0182013666642997,0.0102376056545546,0,0,0.0349934588850795,0.0348641997674005,0,0,0.0771358426298431,0,0.0358028185113964,0.0611830593443076,0.01264420552323,0,0,0,0,0,0,0.0253831623177202,0.0260273774529299,0.10583358749999,0,0.0654535861864505,0,0.0121059385986598,0,0,0.00955787086124188,0.0302237995414389,0.0363056764215915,0.00318462404006669,0,0.0306493783042953,0,0.0282259485331403,0.0143164164468489,0.0585165724469709,0,0.0309305332967591,0.0274772929271408,0.0119056549649467,0,0.0272150434754122,0,0.0148334250775298,0.0253707312491897,0,0,0,0.0227097709071014,0.0197025312325346,0.0130441132231111,0,0,0.012996741776145,0.0349556810407091
"Neutrophil",0,0,0,0.053002556708701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082835454086809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
