"","cell_type","T210","T508","T111","T563","T1","T279","T393","T139","T202","T271","T329","T325","T23","T57","T19","T607","T576","T326","T608","T587","T349","T565","T125","T339","T521","T31","T728","T85","T378","T58","T482","T109","T335","T232","T92","T28","T643","T727","T405","T473","T613","T467","T60","T551","T312","T330","T12","T340","T558","T480","T162","T133","T167","T600","T408","T716","T64","T216","T289","T50","T258","T26","T233","T300","T120","T182","T250"
"1","B cell",0.0185503366913417,0.00825816555968643,0.0112409545058652,0.0128454908021865,0.0256786271779632,0.00598574109034701,0.00507485696669175,0.00691597001608066,0.00602167908636931,0.00663552967882936,0.0204531011890257,0.0162388043328366,0.00641567405170207,0.0140906313826665,0.00548928234995653,0.00399182006045737,0.00424218502799492,0.0198945625952839,0.00256413009196342,0.00452932546781888,0.0266804170453581,0.0178319742560391,0.00401778785767754,0.006142046074239,0.00469141074589277,0.0134983344743699,0.00903672800058587,0.00718687796951665,0.0158578825099361,0.0129110007494164,0.0106484103393333,0.0217608275315462,0.00548608314900561,0.0181808780514258,0.00966373954488703,0.01112540243455,0.00691731325139257,0.018521950708872,0.00629988485060251,0.00738305720374677,0.00489646397967129,0.00577972033995919,0.00747764434359111,0.0062539390053001,0.00774152981986079,0.0153453475835118,0.00671772563179608,0.00859598861652453,0.0149453815756205,0.012531294436853,0.0163294097744616,0.00487507068150275,0.010532535559024,0.00876060560589505,0.0106261525627118,0.0157048963391768,0.0148321742242744,0.0105916951522391,0.00920159121867496,0.0179380523889253,0.0041664948224275,0.00698873225105,0.0136077170405053,0.00918385270322915,0.0133793102158121,0.0050864702566075,0.00545305948917008
"2","Cancer associated fibroblast",0.0298910412717698,0.011085933221734,0.0370545826468354,0.00784593881402185,0.024414863499277,0.044009994027423,0.0112973805129074,0.0118602835665244,0.00948088276299332,0.0141162669743264,0.0170182736351204,0.00886225475680116,0.0197584744325426,0.0247359743531587,0.0164529471994409,0.00645612262063229,0.0147203502600657,0.0120144611489188,0.0157499415123986,0.00993804427194358,0.0188812027360504,0.00928717065185457,0.0374922401850907,0.0316679024213643,0.0213533541867629,0.017192392454338,0.0239335198682248,0.012461169474361,0.0138155827674175,0.0233559956336499,0.00928934890436943,0.00618636685002984,0.0400211756956803,0.00833366714029401,0.0251994458575666,0.0144515016676648,0.00924438532148619,0.0192343610268004,0.00757818990793559,0.0149614450097364,0.0070069377517184,0.0113204410056013,0.0405726020607029,0.010933491167679,0.0111319521698057,0.00374239300680796,0.0160814733753182,0.00884367991603708,0.0176652234315268,0.00446871979328602,0.0127554882619761,0.0112388305766726,0.0461412831368583,0.00932187961963529,0.011416681771531,0.00987631984811951,0.0376593172842383,0.0101055602695362,0.0133216024814277,0.0271856289713441,0.0093352514993415,0.016936472637964,0.0161781499015517,0.0099959686414681,0.0119001276011573,0.00726256739596018,0.0104974472324705
"3","T cell CD4+",0.113596911030424,0.151440878170424,0.122372993471349,0.134480954093189,0.190118585809555,0.111670235849089,0.130400859809968,0.0986612553142168,0.103778430747801,0.170413799330747,0.100393239514066,0.0679217895661147,0.124992711529657,0.123676659826312,0.0951432809269744,0.089959132173154,0.109820247026791,0.101125641196169,0.0538193877341253,0.0818680240851061,0.0447518747389518,0.103025394436433,0.106055996936628,0.196301214340307,0.129003943229939,0.127147120682551,0.124029664084173,0.0876347335064886,0.0689217383304627,0.0927535839935272,0.126759367486107,0.0561567525538298,0.0709764820120056,0.136156944272156,0.115387090393467,0.115323046779055,0.109054436975614,0.0908605424664271,0.0878965759643336,0.113732705546538,0.101433607194205,0.0757717298729328,0.111471320127467,0.104031632816164,0.12027984166182,0.0639546521391293,0.127963273973575,0.140400273484116,0.118458190227761,0.0865306809725178,0.152466743581487,0.105200868927534,0.158107060477269,0.100371701696412,0.0991781475419635,0.0519403676855171,0.051797002461691,0.139007761623247,0.15429762442496,0.121420593286577,0.0928082661143327,0.129965084174551,0.128152165632948,0.0543948481224297,0.046693339615395,0.127693735707156,0.141329303336134
"4","T cell CD8+",0.0416939442388228,0.0469438230089799,0.0420758306093236,0.0490532688828904,0.0252941823076002,0.0359145856557195,0.0242643657450995,0.0353425963156734,0.0329887473896053,0.0415914724029446,0.0281632309753759,0.0251858577606457,0.0388965041137312,0.0421506328306977,0.0252397252617225,0.0332952549057224,0.0200755648968256,0.0349482207305887,0.0182249474269785,0.0277688407171795,0.0237675662258579,0.0364020996077979,0.0329627077180541,0.0366341981728673,0.0416671222444187,0.0272801753740122,0.0446007187780556,0.0309904414440865,0.0271659107071946,0.0272287249047931,0.0435184319653499,0.0212027686670059,0.0328176584675073,0.0562739827921248,0.0411540117363131,0.0316430313958364,0.0413765496541743,0.0327801357292097,0.0268368741825258,0.0417319551357017,0.0360087699476755,0.0332045420558479,0.0388827430113711,0.0320768183293223,0.0371092505017827,0.0210548287168436,0.0474173017514938,0.0470348657269876,0.0257448710440998,0.022783006998519,0.0328222553134039,0.0301288449791286,0.0407041471611608,0.0381534665909267,0.0402915149556491,0.0223499098360297,0.0206540583022736,0.0208818070586569,0.0437156307009819,0.020967525255513,0.0326109174397509,0.0448657015579733,0.0383562776623586,0.0216457463008294,0.0190186688071838,0.032641623842754,0.0393082810878195
"5","Endothelial cell",0.0356794403479981,0.0232529160958095,0.0251499628880479,0.0357733719296548,0.0458919693443062,0.0310787581030622,0.0223805988642385,0.0268741246054074,0.0279878154318491,0.0299728431058956,0.0159762488072176,0.0169528768798868,0.0271189605699918,0.0353783874996844,0.0240463651450037,0.0270206251581106,0.0177880248998375,0.0215647227916374,0.0144473168376264,0.0169983222967408,0.0193171328983346,0.0186517056040378,0.0290713005817004,0.0308663289996547,0.0302417004242324,0.0179482831495802,0.0322438320377119,0.0244520159806139,0.0157620497573908,0.0361673248938882,0.0267247492173187,0.0133756190445561,0.0336766314081959,0.0238896783806528,0.0328685434781718,0.0395807788213133,0.0234856352788548,0.0247965102093517,0.0190491594674403,0.0278164702880267,0.0280757007919943,0.0231600072360044,0.0321969337216632,0.0232447721955792,0.0214242877794997,0.00703263190545632,0.041970715689599,0.0267069249912095,0.01984398957444,0.0145943782081351,0.0371545283280532,0.0473183177067858,0.0442989661542998,0.0154353716414218,0.033874326887364,0.0191167364196078,0.0323954624817061,0.0198097140938909,0.0327211703478094,0.0304031425527441,0.0273497665015161,0.0486302732698292,0.0361732689623533,0.0162133152693379,0.011108292047157,0.0294773177030792,0.0196892977504406
"6","Macrophage",0.0038549097033107,0.00307266524908518,0.00317803792435168,0.00399979211443944,0.0093908882588347,0.0223931694323063,0.0109728469994933,0.0039218753480506,0.00483032990522766,0.00333513008654707,0.0047640727036462,0.0086071939179489,0.010006258573899,0.0029275753068968,0.00454574745066362,0.00284354366459377,0.00746357652217223,0.00465308358672877,0.00244248457546132,0.00386204060941991,0.00449188706681696,0.00311226089323283,0.00658556251398263,0.00547438645725106,0.00403713594423937,0.00576219793305618,0.00623877728571301,0.0043933373484555,0.00368074324370987,0.00376552992347732,0.00194610672737803,0.00135153784612977,0.0102801314579049,0.0018655548990204,0.00529255843531137,0.00357786419106366,0.00351568845710459,0.00434306185863557,0.00399093172162897,0.00309150842641714,0.00159620390286234,0.00329561047970161,0.0200602645042436,0.00503974086460979,0.00395907601568882,0.00452888884860631,0.00409978451556086,0.00406483888755675,0.00776765141729573,0.00189974836684393,0.00453943679538496,0.00309073138025356,0.0505537809939889,0.00345791180266055,0.00577401525636231,0.00232192860341575,0.00418186398469207,0.00772634009487333,0.00355774821410193,0.00535410555395542,0.00407277568705838,0.00644049679022158,0.00399166458977408,0.00253340722731938,0.00162455171399002,0.00312221510859695,0.00220155566728691
"7","NK cell",2.53664428221185e-09,7.96601407941505e-11,5.23449210381324e-11,1.08318963788048e-09,5.71793815697132e-10,8.38475838126139e-09,9.66286857546962e-10,2.61198273128455e-10,5.48315330002358e-10,9.53428947304155e-10,9.78793966329161e-11,1.47983320623424e-09,4.81153570393998e-09,5.32782408056586e-10,3.97187178920446e-10,2.69884709079454e-10,2.58024413096193e-10,2.53963907314681e-10,1.38296124303679e-09,2.18081911526816e-10,4.55615405346568e-10,2.91524460846409e-09,5.04098930447757e-10,3.26655136370413e-10,1.65650846290235e-09,1.77013046592521e-10,3.08881727193854e-10,1.69724237638012e-10,3.08064012921924e-10,8.31455247270243e-11,4.6942539322467e-10,1.22877178547158e-09,1.99870925038103e-11,7.36134052031271e-10,4.73359385457689e-09,8.024262068846e-10,3.13233279590545e-09,6.20482663625479e-10,2.11684086021313e-08,1.56160322040102e-10,2.4978520592887e-09,5.22618995407835e-10,1.54837445112333e-07,1.93426208706247e-12,1.55471288884812e-10,1.43589364558597e-08,1.02673315759624e-10,3.4564812909264e-10,7.92270870331169e-10,1.38461017485583e-10,3.83721664511458e-09,8.11329475469792e-09,1.15697702514934e-07,2.17039601951494e-10,1.41957615755975e-10,9.27527151251618e-10,2.11642296767929e-09,6.17774617976129e-10,7.20611062110906e-10,7.68878395494643e-10,6.41623591137824e-11,1.96406316190463e-09,2.35788144886729e-10,4.06414583458489e-10,3.5340714250426e-10,4.68225374620772e-11,4.50755737357525e-10
"8","uncharacterized cell",0.756733414179689,0.75594561861462,0.758927637901882,0.756001182280428,0.67921088303067,0.748947507457294,0.795609090135315,0.816423894572848,0.814912114127839,0.733934957467281,0.813231833077669,0.856231221305933,0.772811411916941,0.757040138267801,0.829082651269051,0.836433501147445,0.825890051108289,0.80579930769671,0.892751790438485,0.855035402333709,0.862109918833015,0.811689391635361,0.783814403702768,0.692913923207661,0.769005331568007,0.79117149575508,0.759916759636654,0.832881424106754,0.854796092375824,0.803817839818102,0.781113584890718,0.879966126278131,0.806741837789713,0.755299293728192,0.770434605820689,0.784298373908091,0.806405987929041,0.809463437380221,0.848348362737125,0.791282858233673,0.820982313934021,0.847467948487334,0.749338337393516,0.818419605619412,0.798354061896071,0.884341243440708,0.755749724959983,0.764353428031921,0.795574691936985,0.857192171085384,0.743932134108017,0.798147327634828,0.649662110819697,0.824499062826009,0.798839160882461,0.878689840340606,0.838480119144702,0.791877121089782,0.743184631891433,0.776730951222063,0.829656527871411,0.746173237354348,0.763540755974721,0.886032861328972,0.896275709645898,0.794716069939024,0.781521054985923
