"","cell_type","T373","T342","T434","T32","T6","T314","T487","T71","T513","T286","T574","T595","T502","T229","T61","T69","T124","T186","T209","T34","T391","T659","T72","T399","T605","T10","T114","T201","T172","T509","T431","T496","T577","T18","T319","T265","T166","T78","T103","T178","T231","T334","T705","T198","T498","T283","T96","T661","T729","T123","T438","T375","T132","T318","T185","T273","T67","T160","T384","T585","T237","T54","T637","T515","T62","T84","T47"
"1","B cell",0.0197229954083801,0.0173640290428033,0.0034915580081368,0.0154765035328438,0.0198001311607923,0.0110013142613994,0.00484672536641375,0.0128658125100692,0.00255345152032571,0.0141457531886924,0.00629507519595763,0.0173458501195163,0.0170416159347989,0.00457837948846322,0.00498258607830343,0.00746369227065243,0.0067064582665121,0.0032352347431679,0.00653941974624956,0.00581750570126889,0.0125867354815562,0.0152017457203735,0.00602757980816626,0.00683032075382245,0.00816467251240154,0.00445170314132507,0.0119152400944816,0.00307432159035482,0.0108481542813627,0.00378652560012266,0.00363622769767252,0.00331483792573691,0.00516745191826315,0.00390012305689103,0.0102705270912557,0.020603096016832,0.0208354846810994,0.00651198827710142,0.0164808843994618,0.0140887416593801,0.00508557354616437,0.00947849056194187,0.00655878875487573,0.021099756762447,0.0116926905998515,0.00354622338411175,0.00621607729764972,0.00588591273745113,0.0048808696953387,0.0122597461844937,0.00374947708742551,0.00492589756646035,0.00402844876280128,0.00615898116954609,0.00650752059894504,0.0039456933000306,0.00526992010733396,0.0167367400602586,0.00621999066981054,0.011077304429493,0.00756769422325948,0.006596997460628,0.00535928376279766,0.00627631807545027,0.00496613703405703,0.00680903257129385,0.00613074166866974
"2","Cancer associated fibroblast",0.0254209934861316,0.032034386775173,0.00989705061240035,0.0266464342070259,0.0427887532546643,0.0112131690044572,0.0217394403833116,0.0144607025355447,0.0202873808805447,0.0270339721422829,0.00942799286693323,0.0132777930447529,0.0245614493453017,0.0202693131476962,0.0247430902884975,0.014389868883275,0.0130363236118871,0.00410015239155036,0.0373850767086451,0.0142098257003886,0.0188647730494854,0.0111321117403593,0.0178583421566948,0.00624601039674649,0.0230412737782017,0.0235279809651187,0.0179120017440381,0.0161081124842391,0.0114903240292001,0.0532798234345916,0.019999202270037,0.0256877056996651,0.0170855529422648,0.0764953805681856,0.007039760146927,0.0127476634965192,0.00697112039859293,0.00678603856702132,0.0105461431628229,0.0129782157080997,0.0183917560922875,0.0127993713576727,0.0307833220318438,0.0104715431062582,0.118760391850743,0.0299630225119524,0.00882632555569211,0.00937540050250457,0.0303003946852967,0.0221369423932119,0.0469944894235936,0.0256430433573341,0.0226966224563887,0.016303428964836,0.0193776058811201,0.0117452111310563,0.0295220377522963,0.00766531351030715,0.0176321854111374,0.0267680288330322,0.0287669434189535,0.0328220481485414,0.0242120741924191,0.0160909620051974,0.0158779967167914,0.0315174403727298,0.0339856843868751
"3","T cell CD4+",0.0990371790885568,0.136089961032418,0.066684280376617,0.11987492011312,0.0725346787090179,0.126276829832522,0.126716678545066,0.0737249702360756,0.0755226385469423,0.185669322301818,0.0592298286263137,0.0890872700550093,0.143765251691292,0.059674438069114,0.107741317122071,0.127024485038388,0.081237514043354,0.0905161801423746,0.123940736975389,0.109575965368222,0.157213828212563,0.110704923839461,0.0806246857174553,0.085944933863111,0.115807321736806,0.156641923852331,0.128981070298758,0.0507654284744311,0.0898954512296827,0.0807035943002037,0.0768441240478325,0.280843210260478,0.115358864385333,0.13182946883167,0.126611287264077,0.108668658430815,0.0959642494975831,0.100967222032028,0.13601117810432,0.160765395930213,0.0922854851495852,0.0835955986767774,0.124206211844378,0.148875032513676,0.0603674625562568,0.095160913914946,0.122918874689604,0.0830125068027844,0.127686520880514,0.103460453750376,0.164191485793242,0.117362055807578,0.131036895783518,0.145359129704796,0.13102669963817,0.0844275811680057,0.111832846850169,0.099203528803009,0.149940341271554,0.106037241640425,0.0895296224181986,0.152949942870487,0.0759778521255584,0.106310791778908,0.130935515317198,0.122792937497891,0.135957463056652
"4","T cell CD8+",0.0242137898312052,0.0420692885674634,0.0282753534827631,0.0289394398028199,0.0245161060653308,0.0346863447512864,0.0469387143611736,0.0278545668574791,0.0201227434481352,0.0246059599851277,0.0234788398199868,0.0217253255038326,0.0272382442270102,0.0369110422515889,0.0343582332723994,0.040631620860684,0.0334382995714594,0.0442302729342946,0.0580474720311038,0.0318431187412684,0.0436309620749715,0.0311719313612174,0.0245201563695116,0.0300687437623997,0.0344094359981916,0.0224273622576989,0.0297178759064108,0.024332779261763,0.0264777132360961,0.0265099089983294,0.0304698922640281,5.48350014575303e-07,0.0330071430923037,0.0343631076411656,0.0389519094245436,0.0360309680941038,0.0270793512468382,0.0350519628940122,0.0441108064149158,0.0251228479049066,0.0341012895149435,0.0313772055993285,0.0385555662359386,0.0443150018393545,0.0214043409468776,0.0329967865379973,0.0514608068103793,0.0372382997151129,0.0261973521292422,0.0313463983094346,0.0154971712249601,0.038170984205538,0.02211845528417,0.0435476562286187,0.0386815797288854,0.0242239968944126,0.0179660542778996,0.0420423161176343,0.0307757335716706,0.037836490236394,0.0375950716194763,0.0327470204525189,0.0398614127041473,0.0473279401511139,0.0342981361099395,0.0364216375703543,0.0355078585697955
"5","Endothelial cell",0.0370954989387624,0.0481605456399645,0.0180714340763787,0.0248187025244606,0.0333734031322974,0.0228661707994331,0.0242640277171066,0.02087897420931,0.0169082431942693,0.0254996036379218,0.0260389453695134,0.0171076743681243,0.0156582306640283,0.0332012340365672,0.048063978438123,0.0203889188397698,0.017160477992119,0.0317893991651245,0.0333350998575553,0.0223609578679553,0.0352962214178425,0.0290299740288017,0.0181617132001837,0.023591249240959,0.0204541944959657,0.0239607012348535,0.0389325182575717,0.0171212381580429,0.0271643361851153,0.036450063873095,0.0230407824447475,0.0163955857015961,0.0213487417358709,0.0477889521171319,0.0339198117361616,0.0156662213868103,0.0338282064983381,0.0166580496887761,0.0216664250559548,0.0274935714944068,0.0195487738055546,0.0191006905824808,0.0305824800437587,0.0244930812776195,0.0233238751030143,0.0240911182393055,0.0318539432440446,0.0261586960722865,0.0259454299415097,0.0203121695237448,0.0541066284912333,0.0359023175840267,0.0197640711452464,0.034395222793149,0.0361469488625343,0.0168384636834587,0.0178567419841773,0.0219266157450097,0.0401735672117721,0.0309146487467409,0.0453189024942569,0.0335172934716184,0.0227257158428979,0.0336771952840727,0.0298019411076787,0.0383429249338135,0.0304555464655573
"6","Macrophage",0.00424191435045359,0.00530300980319393,0.00256050230210157,0.00544756307790414,0.00497546633068077,0.00512604698705243,0.0337593513156059,0.00699743740968067,0.00720857151670837,0.00624066736571932,0.00287707219829229,0.00529575961705437,0.0142961981976679,0.00124549996021889,0.00597885509243746,0.00474083239746353,0.00861380569791841,0.00153125815755972,0.00490538907728539,0.0044852851951351,0.00599229227948508,0.00532828880445844,0.00643094916747082,0.00719682610530431,0.0072885995918215,0.00539388674244486,0.00918218206997364,0.00160628214049835,0.00155676748552727,0.00510595328751771,0.00357856541127245,0.0396247839047009,0.00411394950650862,0.0166375021404552,0.00266304176117817,0.00292229367270937,0.00400793525932664,0.00510875061069052,0.00430712165848339,0.00264603486965822,0.00629316427186885,0.00446599695911318,0.00819354534369896,0.00272641203332526,0.014845557163664,0.00438073231905942,0.00377299369206498,0.00453821463317884,0.00638695679357146,0.00391765139879832,0.0096424910822657,0.0068551136271444,0.00415089907901178,0.00394542637831319,0.00432614507424311,0.00380440084067069,0.00523903519884328,0.00247523001738353,0.0207205452734395,0.00561247802413013,0.00533296613869103,0.0134570612986011,0.00862557625047617,0.0041201932899494,0.00443742451208865,0.00400241731193266,0.00544389090620842
"7","NK cell",2.30282598219207e-10,6.13388096831907e-10,2.31462565062478e-10,3.0232246887436e-10,1.43764938659205e-09,7.25893426065992e-11,6.94624896564905e-08,2.51525227618268e-09,1.5606689362659e-10,2.66672522209793e-10,2.45538494364698e-10,2.89668766173695e-10,8.0970631957207e-08,3.7891722034398e-10,1.11381202675242e-10,9.87923944579207e-10,1.33016001140971e-10,6.43242033530761e-11,2.22198808735794e-12,1.48568730320698e-10,5.33081920800489e-09,1.4838593188877e-09,2.73974838755663e-09,2.26568342944854e-10,4.6911471538442e-11,3.31808186197884e-11,2.46115240165938e-10,6.81549348458575e-10,5.77977503606905e-12,8.89850086305244e-10,2.19557574472644e-09,1.49003270964638e-09,6.95889853778222e-10,9.89573798607137e-10,1.14949026112407e-09,1.15545044214762e-10,2.0353408953681e-08,1.74020252337501e-10,3.01407650984691e-10,3.33730576212566e-09,1.92543161151442e-10,1.12218932962821e-10,2.62052366495904e-10,5.8634945314603e-10,4.38877533383087e-09,5.20116883104428e-10,3.53249705565341e-10,9.60414126061012e-10,1.29556468243713e-09,1.47198961899068e-10,9.18730371727142e-08,6.64705473682296e-10,8.48111276556425e-10,3.26787122023543e-10,5.54368741638497e-10,5.73450896468234e-10,8.35816745003848e-11,1.86644540406445e-09,4.90275020423084e-09,2.25227535347952e-10,1.87199023624211e-09,5.19854437980875e-09,4.45033908785076e-10,8.35169032946851e-10,2.55103549776552e-10,9.73905005477108e-10,8.04825921781573e-10
"8","uncharacterized cell",0.790267628666228,0.718978778525596,0.87101982091014,0.778796436439504,0.802011459909567,0.78883012429126,0.741734992848832,0.843217533726589,0.857396970737008,0.716804721111766,0.872652245677465,0.836160327002041,0.757438928969269,0.844120092667434,0.774131939596787,0.785360580721843,0.839807120683734,0.824597502401604,0.73584680560155,0.811707341277193,0.726415182153277,0.79743102302147,0.846376570840769,0.840121915651089,0.7908345018397,0.763596441773047,0.763359111382651,0.886991837209121,0.832567253547236,0.79416412961629,0.842431203668834,0.634133326667776,0.803918295723566,0.688985464654927,0.780543661426367,0.803361098786665,0.811313632064813,0.828915987756351,0.766877440902634,0.75690518909603,0.824293957427053,0.839182646150467,0.761120085483453,0.74801917188097,0.749605677390817,0.809861202572511,0.774950978357316,0.833790968576267,0.778602474578963,0.806566638292742,0.705818165024243,0.771140587187213,0.796204606640752,0.750290154433954,0.763933499661733,0.855014652408914,0.812313363745699,0.809950253879952,0.734537631687866,0.781753807864557,0.785888797815174,0.72790963109906,0.823238084676669,0.78619659858014,0.779682848947143,0.76011360876808,0.752518814141416
